Date, open, high,low,close,volume
16-12-2024,790,794,783,784.7,491602
13-12-2024,792.35,792.4,775,790.6,508033
12-12-2024,803,803,784.95,786.3,526867
11-12-2024,803.9,806.8,798.05,799,627361
10-12-2024,805.75,810.45,797.55,800,840713
09-12-2024,821.95,821.95,796.65,798.9,605611
06-12-2024,794.45,818.7,785.15,816.75,1555873
05-12-2024,791.65,797.3,780.9,792.55,866408
04-12-2024,806.5,806.5,784,788.25,415446
03-12-2024,793.95,805.9,789.95,801.15,310853
02-12-2024,787.35,796.5,785,789.95,819147
29-11-2024,780.4,789.2,777,786.85,904317
28-11-2024,782.95,792.6,778.3,779.85,821136
27-11-2024,785.95,791.8,779.25,784.35,590808
26-11-2024,797.8,801.8,780.55,783.25,719632
25-11-2024,809.35,810,793.65,796.8,712946
22-11-2024,775.15,794,775.15,791.25,567691
21-11-2024,787.7,787.7,766.4,773.7,1054333
20-11-2024,783.4,783.4,783.4,783.4,0
19-11-2024,772.05,799.5,772.05,783.4,1052142
18-11-2024,778.5,781.7,759.1,772.05,758355
14-11-2024,787,792,771.6,774.25,1229551
13-11-2024,785.8,792.6,775.45,786.4,1443625
12-11-2024,805,813.45,783,784.95,1615462
11-11-2024,800.05,831.2,791.7,804.75,2173575
08-11-2024,821.05,823.15,801.1,805.7,1550591
07-11-2024,842.25,842.85,817.65,819.8,685131
06-11-2024,848.7,848.7,826,839.6,695814
05-11-2024,822.15,843.3,820.7,835.45,888400
04-11-2024,843.45,843.9,814.85,824.1,1253895
01-11-2024,849,849,838.9,843.6,411981
31-10-2024,847.55,847.55,832.05,834.1,832204
30-10-2024,848.3,853.75,838.25,840.3,1079913
29-10-2024,884.95,884.95,826.05,843.05,1926853
28-10-2024,864.35,886.85,860.1,878.7,690677
25-10-2024,884.7,885.4,857.15,864.35,424665
24-10-2024,875.8,889.9,875.6,879.75,258222
23-10-2024,879.95,885.5,863.75,877.25,424122
22-10-2024,905,905.75,875.15,879.3,552481
21-10-2024,912.95,917.65,898.3,903.15,354268
18-10-2024,895.4,917.65,886.35,910.05,1132444
17-10-2024,915.35,915.35,890.1,891.7,599537
16-10-2024,918,923.25,900.3,907.1,766953
15-10-2024,932,935.4,913,917.45,374203
14-10-2024,930.95,939.6,925.5,928.05,623993
11-10-2024,930.1,936.9,928.65,930.95,539101
10-10-2024,933.05,943.95,911.15,928.85,1285261
09-10-2024,929.95,948.2,925.25,939.15,967945
08-10-2024,918.1,925,893.9,919.85,1435568
07-10-2024,940.4,944.2,915.2,928.1,495493
04-10-2024,933.85,949.2,920,930.7,1567350
03-10-2024,937,950.3,925,926,2260281
01-10-2024,975.25,984.4,958.75,965.35,684583
30-09-2024,992.4,997.75,971.65,974.7,448154
27-09-2024,995.3,1000,989,992.4,844029
26-09-2024,970.9,995,966.25,993.2,860003
25-09-2024,982.8,983,959.25,963.5,473072
24-09-2024,974.7,985,972.6,977.1,429564
23-09-2024,977.25,979,966.15,971.7,613188
20-09-2024,969.95,977.5,950.05,971.2,1264784
19-09-2024,968.9,978.9,956.55,967.3,829128
18-09-2024,979,984.2,958.1,962.4,713684
17-09-2024,994.5,996.6,959.7,975,5801725
16-09-2024,997,999.8,984.25,988.15,577212
13-09-2024,996.35,1005.95,988.35,992.1,635892
12-09-2024,976.5,988.05,958,986.05,1099631
11-09-2024,998.05,1012,972,976,1755625
10-09-2024,1049.8,1049.8,1032.55,1035.45,242251
09-09-2024,1049.65,1049.65,1026.5,1038.6,285075
06-09-2024,1070,1073,1040.95,1048.65,531111
05-09-2024,1081,1085.7,1067,1068.65,243725
04-09-2024,1077.85,1085,1072.05,1080.3,312273
03-09-2024,1098.35,1099.95,1082.5,1085.55,163600
02-09-2024,1103.6,1104.95,1087.6,1092.5,248096
30-08-2024,1114.05,1115,1097.5,1109.4,578951
29-08-2024,1078,1142,1066.4,1119.65,1397642
28-08-2024,1084.6,1088.2,1070.5,1074.6,230926
27-08-2024,1095.75,1096.85,1075.1,1077.2,240771
26-08-2024,1090,1103,1083,1092.15,317205
23-08-2024,1071.8,1092.3,1071,1084.9,774166
22-08-2024,1090.7,1094,1065.05,1068.6,236226
21-08-2024,1091.4,1095.1,1080,1085.1,228030
20-08-2024,1096.7,1098,1082.2,1086.75,364480
19-08-2024,1106,1106.2,1085.75,1087.85,554502
16-08-2024,1072.85,1100,1069.85,1098.8,600504
14-08-2024,1059,1067.15,1046.55,1062,474015
13-08-2024,1076.1,1076.1,1048.2,1053.55,279463
12-08-2024,1062.25,1079.9,1055.05,1076.1,430577
09-08-2024,1059.55,1082.65,1052,1067.45,624743
08-08-2024,1035.7,1056.1,1027.05,1041.35,783879
07-08-2024,1036.75,1050,1015.1,1025.25,515791
06-08-2024,1026.05,1060.5,1008.45,1013.65,1767022
05-08-2024,1050.05,1064.95,1014.15,1016.65,3165691
02-08-2024,1119,1119,1090.05,1096.9,2016375
01-08-2024,1166.85,1176.3,1136.55,1144.6,668979
31-07-2024,1168.8,1168.8,1145.8,1156.35,831593
30-07-2024,1124.05,1179.05,1118.55,1162.25,902513
29-07-2024,1122.85,1140,1118.4,1123.85,901016
26-07-2024,1105.05,1120,1083.25,1118.4,1731805
25-07-2024,1027.65,1094.1,1026.1,1091.05,1371608
24-07-2024,999,1034,994.85,1027.65,349758
23-07-2024,1005.55,1008.25,967.05,1001.35,342736
22-07-2024,989.85,1008,977,1002.9,302158
19-07-2024,1024.75,1024.75,986.55,989.9,917322
18-07-2024,1022.2,1026.85,1007.85,1025.1,285619
16-07-2024,1025.75,1029.5,1019.35,1021.1,189615
15-07-2024,1020.45,1029.55,1017.2,1024.3,224603
12-07-2024,1022.65,1025.85,1014.45,1016.6,633079
11-07-2024,1008.9,1025.45,1007.6,1020.75,390361
10-07-2024,1016.8,1020,986.8,1005.45,350650
09-07-2024,1002.25,1017.35,998.2,1014.75,378335
08-07-2024,1003.5,1016,996.3,1002.35,1219765
05-07-2024,999.75,1006,990,993.7,1212000
04-07-2024,984.4,1004,980,999.05,1353037
03-07-2024,984.05,986.85,974,975.65,303599
02-07-2024,1005.05,1005.05,979.45,980.95,757122
01-07-2024,990,1005,985.2,1001.65,1339775
28-06-2024,975,998.6,972.1,990.1,1337488
27-06-2024,952.7,974.7,948.5,972,762172
26-06-2024,956,962.25,950,951.75,415753
25-06-2024,960,963.35,949.5,954.85,630392
24-06-2024,961.95,963.4,950.15,958.25,246092
21-06-2024,979.9,981,958,961.05,905646
20-06-2024,981.2,988.1,976.75,978.1,532805
19-06-2024,990.9,994.9,975.55,977.4,312686
18-06-2024,998.7,1003.45,984.1,985.65,351324
14-06-2024,991,997,981.4,993.4,404491
13-06-2024,1001.4,1001.4,980.55,985.75,450162
12-06-2024,995.6,1010,987,988.6,1408984
11-06-2024,973.95,992.65,966.75,987.1,571900
10-06-2024,978.8,985,969.15,974.8,413081
07-06-2024,940,972.95,935.3,970.4,1068469
06-06-2024,944.4,946,931.5,938.15,446996
05-06-2024,922.3,933.75,890,929.9,1228258
04-06-2024,952.95,952.95,855.45,904.15,3524221
03-06-2024,964.35,964.35,934,950.5,611484
31-05-2024,930.9,937.4,920,922.85,1091292
30-05-2024,942.55,951.45,921.5,924.15,919480
29-05-2024,947.7,950.2,938.8,943.65,244360
28-05-2024,960,962,946.1,947.3,224987
27-05-2024,967.95,967.95,952,958,859520
24-05-2024,964.7,970.8,958,960.75,401991
23-05-2024,950,963,945.25,962.05,359571
22-05-2024,952,955,942.75,947.4,302914
21-05-2024,957.85,957.85,949,951.15,438896
17-05-2024,945,953.75,941.25,945.75,673840
16-05-2024,954.65,954.65,919,936.35,1226843
15-05-2024,972.65,973,945.1,947.2,1588448
